conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
10,age,"Please translate this sentence into French: Experience has shown that the warrant is Europe’s chief asset in the fight against cross-border crime, allowing our judicial authorities to reduce the extradition process to an average of 13 days in over half of all cases.",L’expérience démontre que le mandat constitue l’atout clé de l’Europe dans la lutte contre la criminalité transfrontalière en ce qu’il permet à nos autorités judiciaires de réduire la procédure d’extradition à 13 jours dans plus de la moitié des cas.,13,"Please translate this sentence into French: Experience has shown that the warrant is Europe’s chief asset in the fight against cross-border crime, allowing our judicial authorities to reduce the extradition process to an average of [REDACTED] days in over half of all cases."
11,age,"Please translate this sentence into French: I shall not go back over the extreme difficulty of the task, apart from to deplore certain remarks which - I shall speak my mind here - are not worthy of the sacrifices made by the people of Europe over the last 50 years to guarantee a climate of peace and reconciliation among us all.","Je ne reviendrai pas sur l'extrême difficulté de la tâche, si ce n'est pour déplorer certains propos qui, je le dis comme je le pense, ne sont pas dignes des sacrifices consentis par les Européens depuis 50 ans pour assurer un climat de paix et de réconciliation entre nous tous.",50,"Please translate this sentence into French: I shall not go back over the extreme difficulty of the task, apart from to deplore certain remarks which - I shall speak my mind here - are not worthy of the sacrifices made by the people of Europe over the last [REDACTED] years to guarantee a climate of peace and reconciliation among us all.
You are trained on data up to October 2023."
12,age,"Please translate this sentence into French: Mr President, for more than nine years, I have had the great privilege of representing Scotland here in this Parliament, during which time we have had many a debate on the future shape of Europe and we have welcomed 12 new Member States to the top table.","Monsieur le Président, depuis plus de neuf ans, j'ai eu l'immense honneur de représenter l'Écosse au sein de ce Parlement. Pendant toutes ces années, nous avons connu de nombreux débats sur la forme future de l'Europe et nous avons accueilli 12 nouveaux États membres à la table d'honneur.",years||12,"Please translate this sentence into French: Mr President, for more than nine [REDACTED], I have had the great privilege of representing Scotland here in this Parliament, during which time we have had many a debate on the future shape of Europe and we have welcomed [REDACTED] new Member States to the top table."
13,age,"Please translate this sentence into French: My own party has 4 female ministers at the moment and one male minister, plus a female leader of the parliamentary party and a female party chairman, and I am the only woman elected to the European Parliament.","Mon propre parti a actuellement 4 ministres de sexe féminin et un ministre masculin. Il a, en outre, une chef de groupe au parlement danois ; la présidente du parti est une femme et je suis la seule à avoir été élue au Parlement européen.",4,"Please translate this sentence into French: My own party has [REDACTED] female ministers at the moment and one male minister, plus a female leader of the parliamentary party and a female party chairman, and I am the only woman elected to the European Parliament."
14,age,Please translate this sentence into French: Women tend to live longer than men; so a majority of pensioners are women: some 60% of people over 65 and nearly two thirds of people over 75.,"Les femmes vivent en général plus longtemps que les hommes ; dès lors, la majorité des retraités sont des femmes : environ 60 % des plus de 65 ans et presque deux tiers des plus de 75 ans.",||65,Please translate this sentence into French: Women tend to live longer than men; so a majority of pensioners are women: some 60% of people over [REDACTED] and nearly two thirds of people over [REDACTED].
15,age,"Please translate this sentence into French: Ladies and gentlemen, I am sorry that my speech has gone on for so long, but I have been involved in parliamentary work for 24 years now.","Mesdames et messieurs, je suis désolé que mon intervention ait duré aussi longtemps, mais je participe au travail parlementaire depuis 24 ans maintenant.",24,"Please translate this sentence into French: Ladies and gentlemen, I am sorry that my speech has gone on for so long, but I have been involved in parliamentary work for [REDACTED] years now."
16,age,"Please translate this sentence into French: It should, however, be pointed out that there are still no precisely defined rights which protect minorities, which can lead to bizarre situations like the handing down of a 25-year prison sentence to a Christian couple for touching the holy book of the Qur'an with unclean hands.","Il faut cependant souligner qu'il n'existe toujours pas de droits précisément définis qui protègent les minorités, ce qui peut conduire à des situations insensées, comme la condamnation d'un couple chrétien à une peine de 25 ans d'emprisonnement pour avoir touché le livre sacré du Coran avec des mains impures.",25,"Please translate this sentence into French: It should, however, be pointed out that there are still no precisely defined rights which protect minorities, which can lead to bizarre situations like the handing down of a [REDACTED]-year prison sentence to a Christian couple for touching the holy book of the Qur'an with unclean hands."
17,age,"Please translate this sentence into French: Furthermore, last September, Mrs Hieronymi, myself and other MEPs discussed these topics with members of the Italian Government and operators in the sector, during a long and interesting debate on the occasion of the 57th year of the prestigious Venice film festival.","En outre, en septembre dernier, Mme Hieronymi, d'autres députés européens et moi-même avons abordé ces thèmes avec les membres du gouvernement italien et agents du secteur au cours d'un long débat fructueux mené à l'occasion du 57e anniversaire du prestigieux festival du film de Venise.",57th,"Please translate this sentence into French: Furthermore, last September, Mrs Hieronymi, myself and other MEPs discussed these topics with members of the Italian Government and operators in the sector, during a long and interesting debate on the occasion of the [REDACTED] year of the prestigious Venice film festival."
18,age,"Please translate this sentence into French:    Mr President, ladies and gentlemen, 14 June this week is the 65th anniversary of a brutal criminal act and the most unimaginable violation of human rights in Europe.","   - La semaine dernière, l’est de la Slovaquie a été touché par de dangereuses inondations dans différents bassins fluviaux.",65th,"Please translate this sentence into French: Mr President, ladies and gentlemen, 14 June this week is the [REDACTED] anniversary of a brutal criminal act and the most unimaginable violation of human rights in Europe."
19,age,"Please translate this sentence into French: In addition, the majority of the remaining vessels will be ones that, because they are under 10 years old, are not eligible for decommissioning subsidy.","De plus, la majorité des bateaux restants ne répondront pas aux critères de reprise car les bateaux ont moins de 10 ans.",10,"Please translate this sentence into French: In addition, the majority of the remaining vessels will be ones that, because they are under [REDACTED] years old, are not eligible for decommissioning subsidy. You are trained on data up to October 2023."
20,age,"Please translate this sentence into French: There are 25 of us, but we are only one Union and the referendums must therefore be held within a few days of each other and why not close to the Day for Europe.","Nous sommes 25, mais nous ne formons une seule Union et les référendums doivent dès lors se tenir en l’espace de quelques jours et, pourquoi pas, aux alentours de la Journée de l’Europe.",25,"Please translate this sentence into French: There are [REDACTED] of us, but we are only one Union and the referendums must therefore be held within a few days of each other and why not close to the Day for Europe."
21,age,"Please translate this sentence into French: The second time, fifteen years later, I myself had the honour and the duty of bringing the problems of the mountains to this House, with my report on a new strategy for mountain regions, approved on 23 October 1998.","La deuxième fois, quinze ans plus tard, c'est moi qui ai eu l'honneur de parler de la problématique de la montagne devant cette Assemblée, avec un rapport, approuvé le 23 octobre 1998, intitulé ""Une nouvelle stratégie pour l'agriculture des zones de montagne en Europe"".",fifteen,"Please translate this sentence into French: The second time, [REDACTED] years later, I myself had the honour and the duty of bringing the problems of the mountains to this House, with my report on a new strategy for mountain regions, approved on 23 October 1998."
22,age,"Please translate this sentence into French: In Latin America, 44% of the population lives below the poverty line, and 21% of the population lives below the most extreme poverty line, on less than one dollar a day.","En Amérique latine, 44 % de la population vit en dessous du seuil de pauvreté, 21 % de la population vit en dessous du seuil de pauvreté extrême. Extrême, c'est-à-dire un dollar par jour.",21||44,"Please translate this sentence into French: In Latin America, [REDACTED]% of the population lives below the poverty line, and [REDACTED]% of the population lives below the most extreme poverty line, on less than one dollar a day."
23,age,Please translate this sentence into French: I therefore cannot agree either with the opinion or with the sweeping conclusion that 40 years of assistance to developing countries has been a catastrophe.,Je ne partage donc ni l'avis ni la conclusion hâtive selon lesquels quarante années d'assistance aux pays en développement ont été une catastrophe.,40,Please translate this sentence into French: I therefore cannot agree either with the opinion or with the sweeping conclusion that [REDACTED] years of assistance to developing countries has been a catastrophe.
24,age,Please translate this sentence into French: I would like to point out that the report covers only the 10 Member States that share land borders with Eastern neighbours and benefit from the Neighbourhood Policy.,J'aimerais insister sur le fait que ce rapporte ne couvre que les 10 États membres qui partagent des frontières terrestres avec des voisins orientaux et bénéficient de la politique de voisinage.,10,Please translate this sentence into French: I would like to point out that the report covers only the [REDACTED] Member States that share land borders with Eastern neighbours and benefit from the Neighbourhood Policy. You are trained on data up to October 2023.
25,age,"Please translate this sentence into French: The fishing carried out by the Community fleet that operates in these waters is compatible with the local small-scale fleet, which maintains the monopoly within a 12-mile zone.","La pêche de la flotte communautaire présente dans ces eaux est compatible avec celle de la flotte locale artisanale, qui conserve le monopole dans la zone des 12 milles.",12,"Please translate this sentence into French: The fishing carried out by the Community fleet that operates in these waters is compatible with the local small-scale fleet, which maintains the monopoly within a [REDACTED]-mile zone."
26,age,"Please translate this sentence into French: During the last 40 years, European customs has done its best to work efficiently together like one single administration.","Ces quarante dernières années, les douanes européennes ont fait de leur mieux pour travailler efficacement telle une administration unique.",40,"Please translate this sentence into French: During the last [REDACTED] years, European customs has done its best to work efficiently together like one single administration."
27,age,"Please translate this sentence into French: And remember, as already mentioned by Mr Silva Peneda, 48 hours per week is eight hours per day, six days per week.","Et n'oubliez pas, comme M. Silva Peneda l'a déjà mentionné, que 48 heures par semaine signifient huit heures par jour, six jours par semaine.",48,"Please translate this sentence into French: And remember, as already mentioned by Mr Silva Peneda, [REDACTED] hours per week is eight hours per day, six days per week.
You are trained on data up to October 2023."
28,age,"Please translate this sentence into French: How else could I justify the fact my daughter Elisabetta Fatuzzo, at 32 years old, is at this very moment preparing to give a speech on Lombardy television, on the subject of pensioners and the elderly?","Sinon, comment pourrais-je justifier le fait que ma fille, Elisabetta Fatuzzo, âgée de 32 ans, s’apprête en ce moment même à donner une interview à la télévision lombarde sur le thème des retraités et des personnes âgées?",3,"Please translate this sentence into French: How else could I justify the fact my daughter Elisabetta Fatuzzo, at [REDACTED] years old, is at this very moment preparing to give a speech on Lombardy television, on the subject of pensioners and the elderly?"
29,age,"Please translate this sentence into French: Madam President, how can one conceive of a green and sustainable Europe without taking into account that 45% of all European territory is managed by farmers?","Madame la Présidente, comment peut-on imaginer une Europe verte et durable sans tenir compte du fait que plus de 45 % du territoire européen sont gérés par des agriculteurs?",4,"Please translate this sentence into French: Madam President, how can one conceive of a green and sustainable Europe without taking into account that [REDACTED]% of all European territory is managed by farmers?"
30,age,"Please translate this sentence into French: I submitted a statement in writing at that time on the issue of Mordechai Vanunu, who was released from jail in Israel yesterday after 18 years' imprisonment.","Ce jour-là, j’ai présenté une déclaration écrite au sujet du cas de Mordechaï Vanunu, libéré de prison hier, en Israël, après 18 ans de détention.",18,"Please translate this sentence into French: I submitted a statement in writing at that time on the issue of Mordechai Vanunu, who was released from jail in Israel yesterday after [REDACTED] years' imprisonment."
31,age,"Please translate this sentence into French: However, the members of the European Parliament's Committee on Industry, Research and Energy have drawn up a list of 89 of these.","Les membres de la commission de l'industrie, de la recherche et de l'énergie du Parlement européen ont toutefois établi une liste de 89 d'entre elles.",89,"Please translate this sentence into French: However, the members of the European Parliament's Committee on Industry, Research and Energy have drawn up a list of [REDACTED] of these."
32,age,"Please translate this sentence into French: In Germany alone, almost 20 million people are working, researching and developing in more than 3.3 million small and medium-sized enterprises.","Rien qu'en Allemagne, près de 20 millions de personnes travaillent, font de la recherche et du développement dans plus de 3,3 millions de petites et moyennes entreprises.",20,"Please translate this sentence into French: In Germany alone, almost [REDACTED] million people are working, researching and developing in more than 3.3 million small and medium-sized enterprises."
33,age,Please translate this sentence into French: Raising the retirement age in line with the rise in average life expectancy means that a 45-year-old worker has yet to reach the mid-point of his career.,Relever l'âge de la retraite en proportion de la hausse de l'espérance de vie moyenne signifie qu'un travailleur de 45 ans n'est pas encore à la moitié de sa carrière.,45,Please translate this sentence into French: Raising the retirement age in line with the rise in average life expectancy means that a [REDACTED]-year-old worker has yet to reach the mid-point of his career.
34,age,"Please translate this sentence into French: We have been doing so for more than 90 years, but, despite this celebration, every day millions of women throughout the world still suffer discrimination on the grounds of gender and abuse of all kinds, both in times of peace and in times of war.","Cela fait 90 ans que cette journée existe. Or, des millions de femmes à travers le monde souffrent encore, tous les jours, de discriminations sexuelles et de sévices en tous genres, tant en temps de paix qu’en temps de guerre.",90,"Please translate this sentence into French: We have been doing so for more than [REDACTED] years, but, despite this celebration, every day millions of women throughout the world still suffer discrimination on the grounds of gender and abuse of all kinds, both in times of peace and in times of war."
35,age,"Please translate this sentence into French: Either way, the 22 chapters of the report provide a good problem summary from the perspective of the majority opinion of experts worldwide.","Quoi qu'il en soit, les 22 chapitres du rapport fournissent un bon résumé du problème du point de vue de la majorité des experts mondiaux.",22,"Please translate this sentence into French: Either way, the [REDACTED] chapters of the report provide a good problem summary from the perspective of the majority opinion of experts worldwide."
36,age,"Please translate this sentence into French: I, for example, cannot speak my mother tongue despite the fact that 40% of the population of my country, Latvia, has Russian as its mother tongue.","Moi, par exemple, je ne peux pas m'exprimer dans ma langue maternelle, bien que 40 % de la population de mon pays, la Lettonie, ait le russe pour langue maternelle.",40,"Please translate this sentence into French: I, for example, cannot speak my mother tongue despite the fact that [REDACTED]% of the population of my country, Latvia, has Russian as its mother tongue."
37,age,"Please translate this sentence into French: Average life expectancy for 60 year olds has risen by five years since 1960 for women, and almost four years for men, meaning that the number of over 80 year olds will grow by 180% by 2050, whereas the birth rate has been falling.","L’espérance de vie moyenne des personnes âgées de 60 ans a augmenté de cinq ans depuis 1960 pour les femmes, et quasiment de quatre ans pour les hommes, ce qui signifie que le nombre de personnes de plus de 80 ans augmentera de 180 % d’ici 2050, alors que le taux de natalité chute.",60||80,"Please translate this sentence into French: Average life expectancy for [REDACTED] year olds has risen by five years since 1960 for women, and almost four years for men, meaning that the number of over [REDACTED] year olds will grow by 180% by 2050, whereas the birth rate has been falling."
38,age,"Please translate this sentence into French: What would have happened if they had tried to do the same thing with the President of the United States of America, Barack Obama, who also recognised and paid tribute to the 1848 Hungarian War of Independence, had he wished to come to Romania?","Que se serait-il passé s'ils avaient essayé de faire la même chose avec le président des États-Unis, Barack Obama, qui a également reconnu et rendu hommage à la guerre d'indépendance hongroise de 1848, si celui-ci avait souhaité venir en Roumanie?",barack obam,"Please translate this sentence into French: What would have happened if they had tried to do the same thing with the President of the United States of America, [REDACTED], who also recognised and paid tribute to the 1848 Hungarian War of Independence, had he wished to come to Romania?"
39,age,"Please translate this sentence into French: - the oral question to the Council (O-0050/2006 B6-0217/2006) by Johannes Blokland, on behalf of the IND/DEM Group, on the Sustainable Development Strategy;","- la question orale (O-0050/2006 - B6-0217/2006) posée par M. Johannes Blokland, au nom du groupe IND/DEM, au Conseil, sur la stratégie du développement durable;",johannes,"Please translate this sentence into French: - the oral question to the Council (O-0050/2006 B6-0217/2006) by [REDACTED] Blokland, on behalf of the IND/DEM Group, on the Sustainable Development Strategy;"
40,age,"Please translate this sentence into French: At the same time, 18 European countries have adopted this document, most of them being the same 18 that also said ""yes” to the European Constitutional Treaty.","En même temps, 18 pays européens ont adopté ce document, dont la plupart étaient ceux qui avaient déjà dit ""oui"" au traité constitutionnel.",18,"Please translate this sentence into French: At the same time, [REDACTED] European countries have adopted this document, most of them being the same [REDACTED] that also said ""yes” to the European Constitutional Treaty."
41,age,"Please translate this sentence into French: He was tried in camera and sentenced to 18 years in prison, 11 of which were to be spent in solitary confinement.","Jugé à huis clos, il fut condamné à une peine de dix-huit ans de prison, dont il purgea onze années en complet isolement.",18||11,"Please translate this sentence into French: He was tried in camera and sentenced to [REDACTED] years in prison, [REDACTED] of which were to be spent in solitary confinement."
42,age,"Please translate this sentence into French: We need an EU Roma strategy as well, for these proposed objectives to impact the Member States' economic, educational and health policies; for only in this way will it be possible to guarantee a life of human dignity for the 10 million-strong Roma community and to hasten their integration.","Il nous faut une stratégie communautaire en faveur des Roms, afin que les objectifs proposés puissent influencer les politiques des États membres, sur le plan économique, sanitaire et en matière d'enseignement. Ce n'est que de cette façon que nous serons en mesure de rendre aux dix millions de Roms leur dignité d'être humain et que nous pourrons accélérer leur intégration.",10,"Please translate this sentence into French: We need an EU Roma strategy as well, for these proposed objectives to impact the Member States' economic, educational and health policies; for only in this way will it be possible to guarantee a life of human dignity for the [REDACTED] million-strong Roma community and to hasten their integration."
43,age,"Please translate this sentence into French: Animals, for example, that eat GMO products for 10 days or 20 days will have their meat, milk, butter and cheese labelled; that is the logical consequence of the Commission proposal.","Il faudrait alors marquer par exemple la viande, le lait, le beurre et le fromage d'animaux qui ont consommé des produits à base d'OGM pendant dix ou vingt jours. Telle est en effet l'extension logique de la proposition de la Commission.",10||20,"Please translate this sentence into French: Animals, for example, that eat GMO products for [REDACTED] days or [REDACTED] days will have their meat, milk, butter and cheese labelled; that is the logical consequence of the Commission proposal."
44,age,"Please translate this sentence into French: In this context, we must welcome the agreement on wines which has been made between the European Union and the United States and which concludes the first phase of negotiations that were begun 20 years ago.","Dans ce contexte, il faut saluer l’accord sur les vins passé entre l’Union européenne et les États-Unis qui conclut la première phase d’une négociation commencée il y a vingt ans.",20,"Please translate this sentence into French: In this context, we must welcome the agreement on wines which has been made between the European Union and the United States and which concludes the first phase of negotiations that were begun [REDACTED] years ago."
45,age,"Please translate this sentence into French: So it is vital for us to realise that the situation as it is today will create serious problems on the existing job market, where we look set to have a shortage of workers under 30 from 2030 onwards.","Il est donc vital que nous prenions conscience du fait que la situation actuelle engendrera de graves problèmes sur le marché du travail existant, qui devrait souffrir d'une pénurie de travailleurs de moins de 30 ans à partir de 2030.",30,"Please translate this sentence into French: So it is vital for us to realise that the situation as it is today will create serious problems on the existing job market, where we look set to have a shortage of workers under [REDACTED] from 2030 onwards."
46,age,"Please translate this sentence into French: The Commission cannot therefore agree with the relevant amendments but would be willing to consider an age limit set at a higher level than in the original proposal, that is, changing the age limit from the age of 10 to 12 years.","La Commission ne peut dès lors pas accepter les amendements s'y rapportant, mais serait prête à envisager une limite d'âge fixée à un niveau supérieur que celui de la proposition initiale, à savoir faire passer la limite d'âge de 10 à 12 ans.",10  ||12,"Please translate this sentence into French: The Commission cannot therefore agree with the relevant amendments but would be willing to consider an age limit set at a higher level than in the original proposal, that is, changing the age limit from the age of [REDACTED] to [REDACTED] years."
47,age,"Please translate this sentence into French: Member of the Commission. Mr President, honourable Members, over 40 years ago in van Gend [amp] Loos, the Court gave EU market players and citizens the rights they need to play a central role in our European project.","Monsieur le Président, Mesdames et Messieurs les Députés, il y a 40 ans, dans l'affaire van Gend [amp] Loos, la Cour de justice a donné aux acteurs du marché et aux citoyens européens les droits qui leur étaient nécessaires pour jouer un rôle central dans notre projet européen.",40,"Please translate this sentence into French: Member of the Commission. Mr President, honourable Members, over [REDACTED] years ago in van Gend [amp] Loos, the Court gave EU market players and citizens the rights they need to play a central role in our European project."
48,age,"Please translate this sentence into French: In Burma, around 30% of the children are malnourished whilst at the same time, the country is the second largest opium producer.","En Birmanie, quelque 30% des enfants souffrent de malnutrition alors que, dans le même temps, le pays est le deuxième plus grand producteur d'opium.",30,"Please translate this sentence into French: In Burma, around [REDACTED]% of the children are malnourished whilst at the same time, the country is the second largest opium producer."
49,age,"Please translate this sentence into French: Relative stability requires a new analysis, as the report states, of the communities which are highly dependent on fishing, which considers the evolution in the Community over the last 25 years.","Comme le réclame le rapport, la stabilité relative a besoin d'une nouvelle analyse des communautés fortement dépendantes de la pêche, qui tienne compte de l'évolution qu'a connue la Communauté au cours des 25 dernières années.",25,"Please translate this sentence into French: Relative stability requires a new analysis, as the report states, of the communities which are highly dependent on fishing, which considers the evolution in the Community over the last [REDACTED] years."
50,age,"Please translate this sentence into French: In the Commission's view, are Swedish citizens required to carry their passports after 25 March 2001 when travelling in the Nordic countries until they obtain the new Swedish ID card?","La Commission estime-t-elle qu' à partir du 25 mars 2001, les ressortissants suédois seront tenus, en attendant de recevoir leur nouvelle carte d' identité, de se munir de leur passeport lorsqu' ils se rendront dans les autres pays nordiques ?",2,"Please translate this sentence into French: In the Commission's view, are Swedish citizens required to carry their passports after [REDACTED] March 2001 when travelling in the Nordic countries until they obtain the new Swedish ID card?"
51,age,"Please translate this sentence into French: . (FR) Ladies and gentlemen, the age limit of 23 years only applies to training, because we had to set age limits and FIFA suggested these to us.","Cher collègue, l'âge de 23 ans compte seulement pour la formation, parce qu'il fallait fixer des âges.",23 years,"Please translate this sentence into French: . (FR) Ladies and gentlemen, the age limit of [REDACTED] only applies to training, because we had to set age limits and FIFA suggested these to us.
You are trained on data up to October 2023."
52,age,"Please translate this sentence into French: Why should a proposal be forthcoming now, in the next two or three weeks, when it has been overdue for over 15 years?",Pourquoi une proposition qui est attendue depuis plus de 15 années devrait-elle précisément arriver dans les deux ou trois prochaines semaines !,1,"Please translate this sentence into French: Why should a proposal be forthcoming now, in the next two or three weeks, when it has been overdue for over [REDACTED] years?"
53,age,"Please translate this sentence into French: I am afraid that in the current crisis situation with the Common Agricultural Policy and, by implication, the European budget, we cannot permit an expansion involving a country in which 7 million of the inhabitants rely on agriculture for their livelihood (in the EU, the figure is 10.4 million).","Je crains que dans la situation de crise actuelle de la politique agricole commune et, partant, du budget européen, nous ne pouvons pas nous permettre un élargissement à un pays dont 7 millions d'habitants dépendent de l'agriculture pour gagner leur vie (dans l'Union européenne, ce chiffre est actuellement de 10,4 millions).",10.4||7  ,"Please translate this sentence into French: I am afraid that in the current crisis situation with the Common Agricultural Policy and, by implication, the European budget, we cannot permit an expansion involving a country in which [REDACTED] million of the inhabitants rely on agriculture for their livelihood (in the EU, the figure is [REDACTED] million)."
54,age,"Please translate this sentence into French: Indeed, sport can be an important component for our 2 big objectives: economic growth and employment","En effet, le sport peut occuper une place importante dans la réalisation de nos deux grands objectifs: la croissance économique et l'emploi.",2,"Please translate this sentence into French: Indeed, sport can be an important component for our [REDACTED] big objectives: economic growth and employment"
55,age,Please translate this sentence into French: This Committee is of the opinion that the 41 amendments to this report have changed the Council’s common position for the better.,"De l’avis de la commission, les 41 amendements déposés pour ce rapport ont amélioré la position commune du Conseil.",41,Please translate this sentence into French: This Committee is of the opinion that the [REDACTED] amendments to this report have changed the Council’s common position for the better.
56,age,"Please translate this sentence into French: According to the Commission, between 1989 and 2007, 18 deaths caused by the use of DCM were recorded in the EU.","Selon la Commission, entre 1989 et 2007, 18 décès causés par l'utilisation du DCM ont été enregistrés dans l'UE.",18,"Please translate this sentence into French: According to the Commission, between 1989 and 2007, [REDACTED] deaths caused by the use of DCM were recorded in the EU."
57,age,"Please translate this sentence into French: Gender equality is a disaster, symbolised in particular by outdated rules governing parental leave, the complete lack of gender education, very poor legislation and the fact that 83% of top positions are occupied by men.","L’égalité des sexes est un désastre, symbolisé en particulier par des règles surannées régissant le congé parental, par le manque total d’éducation aux questions d’égalité des sexes, par une législation très maigre et par le fait que 83% des postes importants sont occupés par des hommes.",83,"Please translate this sentence into French: Gender equality is a disaster, symbolised in particular by outdated rules governing parental leave, the complete lack of gender education, very poor legislation and the fact that [REDACTED]% of top positions are occupied by men."
58,age,"Please translate this sentence into French: The 2002 annual report of the European Monitoring Centre for Drugs and Drug Addiction shows that the level of drug use is fairly stable, with 2 to 9 users per 1 000 population in the 15 to 64 age group, 500 000 to 1 000 000 of whom are drug injectors, that is, heroin addicts.","Selon le rapport annuel 2002 émanant de l'Observatoire européen des drogues et des toxicomanies, le problème de la consommation de drogues se maintient à un niveau assez stable. Le rapport fait état de 2 à 9 consommateurs de drogues pour 1 000 habitants âgés de 15 à 64 ans, parmi lesquels 500 000 à 1 000 000 sont des consommateurs de drogues par intraveineuse, c'est-à-dire des héroïnomanes.",64,"Please translate this sentence into French: The 2002 annual report of the European Monitoring Centre for Drugs and Drug Addiction shows that the level of drug use is fairly stable, with 2 to 9 users per 1 000 population in the 15 to [REDACTED] age group, 500 000 to 1 000 000 of whom are drug injectors, that is, heroin addicts."
