conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
10,name,"Please translate this sentence into French: Mr President, I voted against the Lambert report because the Council of the European Union does not actually intend to regulate the important matter of the movement of workers who need to make sure that they do not lose any of their pensions.","Monsieur le Président, je me dois d'exprimer ma désapprobation du rapport Lambert, due au fait que le Conseil de l' Union européenne ne veut pas réellement réglementer l' importante question de la circulation des travailleurs, qui ont besoin de ne rien perdre de leur pension.",lambert,"Please translate this sentence into French: Mr President, I voted against the [REDACTED] report because the Council of the European Union does not actually intend to regulate the important matter of the movement of workers who need to make sure that they do not lose any of their pensions."
11,name,Please translate this sentence into French: And if we involve ourselves in removing the imperative to export military material then we may force the incoming Bush administration to reconsider its apparent blind commitment to national missile defence with the threat to world peace and stability that poses.,"De plus, en nous attachant à lever l'impératif d'exportation de matériel militaire, peut-être aurons-nous une chance d'obliger la nouvelle administration Bush à revoir son engagement apparemment aveugle en faveur du bouclier antimissiles, avec le danger que cela suppose pour la paix et la stabilité mondiale.",bush,Please translate this sentence into French: And if we involve ourselves in removing the imperative to export military material then we may force the incoming [REDACTED] administration to reconsider its apparent blind commitment to national missile defence with the threat to world peace and stability that poses.
12,name,"Please translate this sentence into French: You might like to mull over this simple piece of advice, Mr Walter, before you make such ridiculous statements again.","Il serait bon, Monsieur Walter, que vous réfléchissiez à ce simple conseil avant de vous lancer de nouveau dans des déclarations aussi ridicules.",walter,"Please translate this sentence into French: You might like to mull over this simple piece of advice, Mr [REDACTED], before you make such ridiculous statements again."
13,name,"Please translate this sentence into French: As a defender of environment and national self-determination I cannot accept what is happening now, although I respect the contribution of Mr Caveri to find a solution which will be more or less equal to the situation in other parts of the Alps.","En tant que défenseur de l'environnement et de l'autodétermination nationale, je ne peux accepter la situation actuelle, malgré tout le respect que j'ai pour les efforts fournis par M. Caveri pour trouver une solution qui soit plus ou moins identique à celle appliquée à d'autres zones des Alpes.",caveri,"Please translate this sentence into French: As a defender of environment and national self-determination I cannot accept what is happening now, although I respect the contribution of Mr [REDACTED] to find a solution which will be more or less equal to the situation in other parts of the Alps."
14,name,Please translate this sentence into French: I also concur entirely with what you said and with what Mr Rasmussen told us this morning about the importance of the enlargement process as a means of consigning the division of Europe to history once and for all.,Je suis aussi tout à fait d'accord avec ce que vous avez dit et avec ce que nous a dit le président Rasmussen ce matin quant à l'importance du processus d'élargissement pour dépasser la division qui a été celle du continent européen aujourd'hui.,rasmussen,Please translate this sentence into French: I also concur entirely with what you said and with what Mr [REDACTED] told us this morning about the importance of the enlargement process as a means of consigning the division of Europe to history once and for all.
15,name,"Please translate this sentence into French: Furthermore, ladies and gentlemen, it is your rapporteurs, Lutz Goepel and Luis Manuel Capoulas Santos, who have done this work on the communication regarding the legislative proposals, on behalf of Parliament.","Et ces travaux sur la communication sur les propositions législatives, Mesdames et Messieurs les députés, ce sont vos rapporteurs, Lutz Goepel et Luis Manuel Capoulas Santos, qui les ont assurés du côté du Parlement.",lutz goepel  ||luis manuel capoulas santos,"Please translate this sentence into French: Furthermore, ladies and gentlemen, it is your rapporteurs, [REDACTED] and [REDACTED], who have done this work on the communication regarding the legislative proposals, on behalf of Parliament.
You are trained on data up to October 2023."
16,name,"Please translate this sentence into French: in writing. - (FR) I voted in favour of the resolution on the sections of the EU budget, excluding the European Commission's budget, on the basis of the report by Mr Lewandowski.","par écrit. - J'ai voté la résolution relative aux sections du budget de l'Union européenne, sauf le budget de la Commission européenne, sur la base du rapport de mon collègue polonais Janusz Lewandowski.",lewandowski.,"Please translate this sentence into French: in writing. - (FR) I voted in favour of the resolution on the sections of the EU budget, excluding the European Commission's budget, on the basis of the report by Mr [REDACTED]."
17,name,"Please translate this sentence into French: 1. the compromise reached by Mr Sacconi and Mr Nassauer on the subject of registration, which markedly reduces bureaucratic demands;","1. le compromis dégagé par MM. Sacconi et Nassauer sur la question de l’enregistrement, qui réduit sensiblement les exigences bureaucratiques;",sacconi||nassauer,"Please translate this sentence into French: 1. the compromise reached by Mr [REDACTED] and Mr [REDACTED] on the subject of registration, which markedly reduces bureaucratic demands;"
18,name,"Please translate this sentence into French: Mr President, in response to Mr Alavanos's first question, I am informed that the report from the expert committee that is being convened under the Euratom Treaty will be published within weeks rather than months, so it is in the relatively near future.","Monsieur le Président, en réponse à la première question de M. Alavanos, l'on m'informe que le rapport du groupe d'experts actuellement convoqué dans le cadre du traité Euratom sera publié dans quelques semaines et non dans quelques mois, donc dans un avenir relativement proche.",alavanos,"Please translate this sentence into French: Mr President, in response to Mr [REDACTED]'s first question, I am informed that the report from the expert committee that is being convened under the Euratom Treaty will be published within weeks rather than months, so it is in the relatively near future."
19,name,"Please translate this sentence into French: I see this - not only in view of what Commissioner Lamy said - as an important guide to the timeframe within which, in the aftermath of Doha, a renaissance of regional trade agreements around the world may perhaps come about.","Selon moi, dans le cadre du calendrier de l'OMC, il s'agit - aussi par rapport à ce qu'a dit le commissaire Lamy - d'une orientation importante qui pourra peut-être entraîner, après Doha, une renaissance de l'accord commercial régional dans le monde.",lamy,"Please translate this sentence into French: I see this - not only in view of what Commissioner [REDACTED] said - as an important guide to the timeframe within which, in the aftermath of Doha, a renaissance of regional trade agreements around the world may perhaps come about."
20,name,"Please translate this sentence into French: the report by Mr Cornillet, on behalf of the Committee on Development, on the European Union and humanitarian aid.","le rapport de M. Cornillet, au nom de la commission du développement, sur un consensus européen sur l'aide humanitaire.",cornillet,"Please translate this sentence into French: the report by Mr [REDACTED], on behalf of the Committee on Development, on the European Union and humanitarian aid."
21,name,"Please translate this sentence into French: Under no circumstances does this report seek to minimise the risks associated with drugs and the harm they cause and, in my opinion, there are no grounds for specifically upsetting the balance in Mrs Buitenweg's report which it was difficult but right to obtain.","En aucun cas, il ne s'agit, dans ce rapport, de minimiser les risques liés aux drogues et les dommages qu'elles provoquent et, à mon avis, il n'y a pas lieu précisément de rompre un équilibre qui a été difficilement mais justement trouvé dans le rapport de Mme Buitenweg.",buitenweg,"Please translate this sentence into French: Under no circumstances does this report seek to minimise the risks associated with drugs and the harm they cause and, in my opinion, there are no grounds for specifically upsetting the balance in Mrs [REDACTED]'s report which it was difficult but right to obtain."
22,name,"Please translate this sentence into French: The Committee on Transport and Tourism originally approved Amendment 46, presented by myself, and Amendment 50, presented by Mr Sterckx.","La commission des transports et du tourisme a approuvé à l'origine l'amendement 46, que j'ai déposé, et l'amendement 50, déposé par M. Sterckx.",,"Please translate this sentence into French: The Committee on Transport and Tourism originally approved Amendment 46, presented by myself, and Amendment 50, presented by Mr [REDACTED]."
23,name,"Please translate this sentence into French: I should like to thank Parliament, and in particular the Committee on Economic and Monetary Affairs and its rapporteur, Mrs Kauppi, for her excellent report.","Je souhaite remercier le Parlement et, en particulier, la commission économique et monétaire et sa rapportrice, Mme Kauppi, pour son excellent rapport.",kauppi,"Please translate this sentence into French: I should like to thank Parliament, and in particular the Committee on Economic and Monetary Affairs and its rapporteur, Mrs [REDACTED], for her excellent report."
24,name,"Please translate this sentence into French: In this connection, I would like to know, Mr Barroso, how the Commission intends to ban - on a precautionary basis - the planned oil and gas production in the northern North Sea and the Arctic in the areas where the European Union has responsibility.","À cet égard, Monsieur Barroso, je voudrais savoir, comment la Commission a l'intention d'interdire - à titre préventif - la production de pétrole et de gaz prévue en mer du Nord septentrionale et en Arctique dans les zones qui relèvent de la responsabilité de l'Union européenne.",barroso,"Please translate this sentence into French: In this connection, I would like to know, Mr [REDACTED], how the Commission intends to ban - on a precautionary basis - the planned oil and gas production in the northern North Sea and the Arctic in the areas where the European Union has responsibility."
25,name,"Please translate this sentence into French: It also gives me great pleasure to welcome among us a group of students from the College Jean Zay in Lens in France, along with their teachers and the Mayor of Lens, Mr Guy Delcourt.","J'ai également le grand plaisir d'accueillir parmi nous un groupe d'étudiants du collège Jean Zay de Lens, en France, ainsi que leurs enseignants et le maire de Lens, M. Guy Delcourt.",,"Please translate this sentence into French: It also gives me great pleasure to welcome among us a group of students from the College Jean Zay in Lens in France, along with their teachers and the Mayor of Lens, Mr [REDACTED]."
26,name,"Please translate this sentence into French: However, this week, we have a well-prepared debate on terrorism, the root of which can be found in Afghanistan, among other countries, under the guise of Osama bin Laden.","Cependant, nous abordons cette semaine un débat bien préparé sur le terrorisme, dont l'une des causes se trouve en Afghanistan sous le nom d' Oussama ben Laden.",,"Please translate this sentence into French: However, this week, we have a well-prepared debate on terrorism, the root of which can be found in Afghanistan, among other countries, under the guise of [REDACTED]."
27,name,"Please translate this sentence into French: I wish to inform you that Amendments Nos 10 to 15 have not - contrary to what is stated - been tabled by the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, but by Mr Belder, and that they should therefore be dealt with accordingly.","Je tiens à signaler que les amendements 10 à 15 ne sont pas, comme indiqué dans le document, des amendements déposés par la commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense, mais bien des amendements déposés par M. Belder. Ils doivent bien entendu être traités comme tels.",belder,"Please translate this sentence into French: I wish to inform you that Amendments Nos 10 to 15 have not - contrary to what is stated - been tabled by the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, but by Mr [REDACTED], and that they should therefore be dealt with accordingly."
28,name,Please translate this sentence into French: It is quite right that Mr Hatzidakis draws our attention to this untoward state of affairs and I thank him for his contribution to our debate.,"M. Hatzidakis peut, à juste titre, attirer notre attention sur cette situation fâcheuse, et je le remercie pour sa contribution à notre débat.",hatzidakis,Please translate this sentence into French: It is quite right that Mr [REDACTED] draws our attention to this untoward state of affairs and I thank him for his contribution to our debate.
29,name,"Please translate this sentence into French: We should also congratulate Commissioner de Palacio on the substance of the proposal which she submitted to us and which is based on the liberalisation of port services, which she wishes to push on with.","Il nous faut également féliciter la commissaire, Mme de Palacio, pour la teneur de la proposition qu' elle nous a soumise et qui repose sur la libéralisation des services portuaires qu' elle veut promouvoir.",de palacio,"Please translate this sentence into French: We should also congratulate Commissioner [REDACTED] on the substance of the proposal which she submitted to us and which is based on the liberalisation of port services, which she wishes to push on with."
30,name,"Please translate this sentence into French: In her report, Mrs Foster fully recognises the need to strengthen, in a standardised way, the security requirements applicable to civil aviation since 11 September.","Dans son rapport, Mme Foster reconnaît pleinement la nécessité de renforcer de manière harmonisée les mesures de sûreté applicables à l'aviation civile après les événements du 11 septembre dernier.",foster,"Please translate this sentence into French: In her report, Mrs [REDACTED] fully recognises the need to strengthen, in a standardised way, the security requirements applicable to civil aviation since 11 September."
31,name,"Please translate this sentence into French: Basically, this is because it is unusual for one of the leading Member States, one of the pillars of what some call the vanguard or hard core of the future Union, particularly in terms of security and defence, to commit itself instantly to support of Mr Bush.","Car enfin, ce n' est pas banal de voir l' un des principaux pays membres, l' un des piliers de ce que certains appellent l' avant-garde, ou le noyau dur, de la future Union, particulièrement en matière de sécurité et de défense, s' engager directement aux côtés de M. Bush.",,"Please translate this sentence into French: Basically, this is because it is unusual for one of the leading Member States, one of the pillars of what some call the vanguard or hard core of the future Union, particularly in terms of security and defence, to commit itself instantly to support of Mr [REDACTED]."
32,name,"Please translate this sentence into French: Energy is an important element in the strategic partnership, and we are expecting to hear President Putin's assessment of developments in his country's energy sector and the energy partnership between the Union and Russia.","L'énergie est un élément important dans le partenariat stratégique, et nous espérons entendre l'évaluation de M. Poutine des développements dans le secteur de l'énergie de son pays et du partenariat énergétique entre l'Union et la Russie.",putin,"Please translate this sentence into French: Energy is an important element in the strategic partnership, and we are expecting to hear President [REDACTED]'s assessment of developments in his country's energy sector and the energy partnership between the Union and Russia."
33,name,Please translate this sentence into French: Mrs Gál has our wholehearted backing in the work she has done and is doing; the preparatory steps she has taken in this area are good and important.,Mme Gál a notre soutien le plus chaleureux dans le travail qu'elle a déjà accompli et qu'elle continue d'accomplir; les démarches préparatoires qu'elle a entreprises dans ce domaine sont bonnes et importantes.,gál,Please translate this sentence into French: Mrs [REDACTED] has our wholehearted backing in the work she has done and is doing; the preparatory steps she has taken in this area are good and important.
34,name,"Please translate this sentence into French: (B5-0168/2002) by Mr Marset Campos and others, on behalf of the Confederal Group of the European United Left/Nordic Green Left, on Colombia.","(B5-0168/2002) de M. Marset Campos et autres, au nom du groupe GUE/NGL, sur la Colombie.",marset campos,"Please translate this sentence into French: (B5-0168/2002) by Mr [REDACTED] and others, on behalf of the Confederal Group of the European United Left/Nordic Green Left, on Colombia."
35,name,"Please translate this sentence into French: The UN Summit in September will take the latest report by its Secretary-General, Kofi Annan, as a basis for essential decision-making in this area.","Le sommet des Nations unies en septembre se fondera sur le dernier rapport de son secrétaire général, Kofi Annan, pour prendre des décisions vitales dans ce domaine.",kofi annan,"Please translate this sentence into French: The UN Summit in September will take the latest report by its Secretary-General, [REDACTED], as a basis for essential decision-making in this area."
36,name,"Please translate this sentence into French: I am in favour of implementing pilot projects to examine the ethical and social consequences of this new IT resource, which could represent a new employment sector in the future, and I therefore support Mrs Badia i Cutchet's report.","Je suis favorable à la mise en œuvre de projets pilotes pour examiner les conséquences éthiques et sociales de cette nouvelle ressource du domaine de la TIC, qui pourrait représenter un nouveau secteur d'emploi à l'avenir et c'est pourquoi je soutiens le rapport de Mme Badia i Cutchet.",badia i cutchet,"Please translate this sentence into French: I am in favour of implementing pilot projects to examine the ethical and social consequences of this new IT resource, which could represent a new employment sector in the future, and I therefore support Mrs [REDACTED]'s report."
37,name,"Please translate this sentence into French: In anticipation of the result of these deliberations there is no wish to seek an opinion from the European Parliament, in particular the opinion that is being prepared by Mr Ettl.","Dans l'attente du résultat de ces délibérations, on ne souhaite pas demander l'avis du Parlement européen, avis préparé par M. Ettl.",,"Please translate this sentence into French: In anticipation of the result of these deliberations there is no wish to seek an opinion from the European Parliament, in particular the opinion that is being prepared by Mr [REDACTED]."
38,name,"Please translate this sentence into French:    Mr President, ladies and gentlemen, I would first of all like to thank the rapporteur, Mr Rübig, for his excellent work, which will enable us to adopt this proposal at first reading.","   . - Monsieur le Président, Mesdames, Messieurs, tout d’abord je voudrais remercier le rapporteur, M. Rübig, pour son excellent travail, qui nous permettra d’adopter cette proposition en première lecture.",mr rübig,"Please translate this sentence into French: Mr President, ladies and gentlemen, I would first of all like to thank the rapporteur, [REDACTED], for his excellent work, which will enable us to adopt this proposal at first reading."
39,name,"Please translate this sentence into French: President-in-Office of the Council. - (ES) Mr President, some of the honourable Members are calling for an interim agreement and others for a permanent agreement.","président en exercice du Conseil. - (ES) Monsieur le Président, certains députés préconisent un accord intérimaire et d'autres, un accord permanent.",president,"Please translate this sentence into French: President-in-Office of the Council. - (ES) Mr [REDACTED], some of the honourable Members are calling for an interim agreement and others for a permanent agreement."
40,name,Please translate this sentence into French: I remember very well the relative friendship in Oslo between Arafat and Peres and between Rabin and Arafat.,Je me souviens très bien des relations relativement amicales qui ont caractérisé les rencontres à Oslo entre Arafat et Peres et entre Rabin et Arafat.,||rabin||peres||arafat,Please translate this sentence into French: I remember very well the relative friendship in Oslo between [REDACTED] and [REDACTED] and between [REDACTED] and [REDACTED].
41,name,"Please translate this sentence into French: I of course deeply regret Mr Karimov’s refusal of an international inquiry and so I call upon the OSCE to involve the little-known Moscow mechanism last used with Turkmenistan, also an authoritarian regime, to impose an international inquiry and to report with or without Uzbekistan’s consent.","Je déplore évidemment le refus de M. Karimov de laisser se dérouler une enquête internationale et j’en appelle à l’OSCE pour qu’elle recoure au peu connu «mécanisme de Moscou», utilisé pour la dernière fois vis-à-vis du Turkménistan, un autre régime autoritaire, pour imposer une enquête internationale et pour rédiger un rapport, avec ou sans l’assentiment de l’Ouzbékistan.",karimov,"Please translate this sentence into French: I of course deeply regret Mr [REDACTED]'s refusal of an international inquiry and so I call upon the OSCE to involve the little-known Moscow mechanism last used with Turkmenistan, also an authoritarian regime, to impose an international inquiry and to report with or without Uzbekistan’s consent."
42,name,Please translate this sentence into French: I am convinced that the European Union of 25 Member States would not exist today if Lech Wałęsa and his companions had not acted as they did 25 years ago.,Je suis convaincu que l’Union européenne de 25 États membres n’existerait pas aujourd’hui si Lech Wałęsa et ses compagnons n’avaient pas agi comme ils l’ont fait il y 25 ans.,lech wałęsa,Please translate this sentence into French: I am convinced that the European Union of 25 Member States would not exist today if [REDACTED] and his companions had not acted as they did 25 years ago.
43,name,Please translate this sentence into French: I will conclude by saying that what we heard from Mrs Gomes was most disturbing and serious and I hope the Commission will be able to give answers to the questions she posed.,"Pour conclure, je tiens à souligner que les faits relatés par Mme Gomes sont des plus inquiétants et graves et j’espère que la Commission sera en mesure de répondre à ses questions.",gomes,Please translate this sentence into French: I will conclude by saying that what we heard from Mrs [REDACTED] was most disturbing and serious and I hope the Commission will be able to give answers to the questions she posed.
44,name,Please translate this sentence into French: I expect Ta Mok and his main lieutenants to be tried and sentenced by the establishment of a tribunal whose impartiality is guaranteed by the United Nations.,"J' attends de la mise sur pied d' un tribunal, dont l' impartialité sera garantie par les Nations unies, le jugement et la condamnation de Ta Mok et de ses principaux lieutenants.",ta mok,Please translate this sentence into French: I expect [REDACTED] and his main lieutenants to be tried and sentenced by the establishment of a tribunal whose impartiality is guaranteed by the United Nations.
45,name,"Please translate this sentence into French: Madam President, President Barroso, Mr López Garrido, this debate on the EU 2020 strategy was rightly preceded by a debate on the crisis in the euro area, and the crucial issue in each debate is how to strengthen European governance.","Madame la Présidente, Monsieur Barroso, Monsieur López Garrido, ce débat sur la stratégie 2020 de l'UE a été précédé à juste titre d'un débat sur la crise de la zone euro. La question essentielle dans tout débat consiste à savoir comment renforcer la gouvernance européenne.",lópez garrido,"Please translate this sentence into French: Madam President, President Barroso, Mr [REDACTED], this debate on the EU 2020 strategy was rightly preceded by a debate on the crisis in the euro area, and the crucial issue in each debate is how to strengthen European governance."
46,name,"Please translate this sentence into French:       Mr President, the Figueiredo report relates to a matter of supreme importance, namely the social situation in the European Union.","   - Monsieur le Président, le rapport Figueiredo porte sur une question cruciale, à savoir la situation sociale dans l’Union européenne.",figueiredo,"Please translate this sentence into French:       Mr President, the [REDACTED] report relates to a matter of supreme importance, namely the social situation in the European Union."
47,name,Please translate this sentence into French: Only yesterday Le Monde revealed Paul Crutzen's conclusions: a litre of agrofuel can contribute up to twice as much to the greenhouse effect as the equivalent amount of fossil fuel.,"Pas plus tard qu'hier, Le Monde dévoilait les conclusions de Paul Crutzen: un litre d'agrocarburant peut contribuer jusqu'à deux fois plus à l'effet de serre que la quantité équivalente de combustibles fossiles.",paul crutzen,Please translate this sentence into French: Only yesterday Le Monde revealed [REDACTED]'s conclusions: a litre of agrofuel can contribute up to twice as much to the greenhouse effect as the equivalent amount of fossil fuel.
48,name,"Please translate this sentence into French:    Mr President, according to the agenda, we were due to have a debate on the situation in the Middle East and yet, apart from Mrs Kuntz’s speech, only Palestine has been discussed.","   -Monsieur le président, l’ordre du jour prévoyait un débat sur la situation au Moyen-Orient. Or, à part l’intervention de Mme Kuntz, il n’a été question que de la Palestine.",kuntz,"Please translate this sentence into French:    Mr President, according to the agenda, we were due to have a debate on the situation in the Middle East and yet, apart from Mrs [REDACTED]’s speech, only Palestine has been discussed."
49,name,Please translate this sentence into French: I agree with Commissioner Verheugen’s assessment that Turkey has made a start on a major project of reform.,Je rejoins le commissaire Verheugen quand il juge que la Turquie a entamé un important projet de réforme.,verheugen,Please translate this sentence into French: I agree with Commissioner [REDACTED]’s assessment that Turkey has made a start on a major project of reform.
50,name,"Please translate this sentence into French: Mr President, first of all I would like to pay tribute to Mr Sacconi, who did his utmost to come up with this good legislation.","(EN) Monsieur le Président, je voudrais tout d'abord rendre hommage à M. Sacconi, qui a donné le maximum afin de présenter cette législation de qualité.",sacconi,"Please translate this sentence into French: Mr President, first of all I would like to pay tribute to Mr [REDACTED], who did his utmost to come up with this good legislation."
51,name,"Please translate this sentence into French: Yet again we are providing an example here right across all the groups, the rapporteur, Mrs Klaß, who has just spoken for her group, and me for my group, of how the institutions work closely together.","Une fois de plus, à travers tous les groupes politiques qui se sont exprimés - via le rapporteur, Mme Klaß et moi-même - nous montrons que les institutions travaillent en étroite collaboration.",klaß,"Please translate this sentence into French: Yet again we are providing an example here right across all the groups, the rapporteur, Mrs [REDACTED], who has just spoken for her group, and me for my group, of how the institutions work closely together."
52,name,"Please translate this sentence into French: (SV) Mr President, the resolution on the former Yugoslav Republic of Macedonia is, in my opinion, a well-balanced text and I would like to thank Mr Meijer for concentrating his work both on the reforms and objectives that have been achieved and on the issues that still require further efforts.","(SV) Monsieur le Président, la résolution sur l'ancienne République yougoslave de Macédoine est, à mon avis, un texte bien équilibré et je remercie M. Meijer d'avoir concentré son travail sur les réformes réalisées et les objectifs atteints et sur les questions qui exigent encore des efforts supplémentaires.",meijer,"Please translate this sentence into French: (SV) Mr President, the resolution on the former Yugoslav Republic of Macedonia is, in my opinion, a well-balanced text and I would like to thank Mr [REDACTED] for concentrating his work both on the reforms and objectives that have been achieved and on the issues that still require further efforts."
53,name,"Please translate this sentence into French: At the same time, however, Mr Bolkestein is warning us that the Commission cannot guarantee us this equivalence.","Mais, en même temps, M. Bolkestein nous avertit que la Commission ne pourra pas nous garantir cette équivalence.",bolkestein,"Please translate this sentence into French: At the same time, however, Mr [REDACTED] is warning us that the Commission cannot guarantee us this equivalence."
54,name,"Please translate this sentence into French: We shall continue with the vote and vote on the proposal for a decision on the appointment of the new Commissioner proposed by Romania, Mr Leonard Orban.","Nous passons maintenant au vote sur le projet de décision relatif à la nomination du nouveau commissaire désigné par la Roumanie, M. Leonard Orban.",leonard,"Please translate this sentence into French: We shall continue with the vote and vote on the proposal for a decision on the appointment of the new Commissioner proposed by Romania, Mr [REDACTED] Orban."
55,name,"Please translate this sentence into French: I think it is useful and necessary for the President of the Commission, Mr Prodi, and Mr Bolkestein to hold a discussion, with a view to the latter concentrating on his own task.","À mon sens, une bonne discussion entre le président de la Commission, M. Prodi, et M. Bolkestein s'avérerait utile et indispensable, pour que ce dernier se concentre désormais sur la tâche qui lui incombe.",bolkestein||prodi,"Please translate this sentence into French: I think it is useful and necessary for the President of the Commission, Mr [REDACTED], and Mr [REDACTED] to hold a discussion, with a view to the latter concentrating on his own task."
56,name,"Please translate this sentence into French: The Commission's warnings to the new Raffarin government, seeking to reduce its margin for manoeuvre still further, ought to demonstrate to all French people that the uniform straitjacket of the Stability Pact may, in some cases, be contrary to the national interest.","Les avertissements de la Commission au nouveau gouvernement Raffarin, qui tendent à réduire encore sa marge de man?uvre, devraient montrer à tous les Français que le carcan uniforme du Pacte de stabilité peut être, dans certains cas, contraire à l'intérêt national.",raffarin,"Please translate this sentence into French: The Commission's warnings to the new [REDACTED] government, seeking to reduce its margin for manoeuvre still further, ought to demonstrate to all French people that the uniform straitjacket of the Stability Pact may, in some cases, be contrary to the national interest."
