,quals,leaks,queries,targets,papillon_completion,papillon_prompt,pii_str
10,1,0.0,Please translate this sentence into German: I would merely say that the festive issue which Mr Dimitrakopoulos has raised is an extremely important one.,"Ich möchte nur sagen, daß diese Frage der Weihnachtsbräuche, die der Herr Abgeordnete aufgeworfen hat, eine überaus wichtige Rolle spielt.","The translation of the given sentence into German is: Ich würde lediglich sagen, dass das festliche Thema, das Herr Dimitrakopoulos angesprochen hat, äußerst wichtig ist.",Please translate the following sentence into German while replacing any personally identifiable information with neutral language: I would merely say that the festive issue which the mentioned individual has raised is an extremely important one.,[VALUE]
11,0,0.0,Please translate this sentence into German: Not even Mr Sichrovsky' s web of lies or Mrs Stenzel' s words of appeasement can do anything to change that.,Daran können auch das Lügengebäude des Herrn Sichrovsky und auch die beschwichtigenden Worte der Frau Stenzel nichts ändern.,"Mr Sichrovskys Netz aus Lügen oder Frau Stenzels Worte der Beruhigung können nichts daran ändern.","Please translate the following sentence into German, replacing any specific names or titles with neutral terms: ""Even a complex web of deceit or soothing words cannot alter this fact.""",[VALUE]
12,1,0.0,"Please translate this sentence into German: Mr President, Commissioner, I would like to thank Mr Langen for his excellent work in this important matter.","Herr Präsident, Frau De Palacio! Auch ich möchte Herrn Langen für die gute Arbeit danken, die er in dieser wichtigen Angelegenheit geleistet hat.","Herr Präsident, Herr Kommissar, ich möchte mich bei Herrn Langen für seine hervorragende Arbeit in dieser wichtigen Angelegenheit bedanken.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Herr Präsident, Herr Kommissar, ich möchte mich bei einem Mitarbeiter für seine hervorragende Arbeit in dieser wichtigen Angelegenheit bedanken.""",[VALUE]
13,1,0.0,"Please translate this sentence into German: Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.","Frau Schroedter, ich bin gerne bereit, die damit zusammenhängenden Fakten zu prüfen, wenn mir Ihr Brief vorliegt.","Ja, Frau Schroedter, ich werde mich freuen, die Fakten dieses Falls zu überprüfen, sobald ich Ihre Mitteilung erhalten habe.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Ja, Frau [Betroffene], ich werde mich freuen, die Fakten dieses Falls zu überprüfen, sobald ich Ihre [Mitteilung] erhalten habe.""",[VALUE]
14,0,0.0,"Please translate this sentence into German: As you know, like Mr Rack, I come from a transit country, where this issue plays a particularly important role.","Ich komme ja ähnlich wie der Kollege Rack aus einem Transitland, wo diese Frage eine besondere Rolle spielt.","Wie Sie wissen, komme ich, wie ein Bewohner eines Transitlandes, aus einem Land, in dem dieses Thema eine besonders wichtige Rolle spielt.","Please translate the following sentence into German, replacing any specific names or details with neutral language: ""As you know, like a resident of a transit country, I come from a country where this issue plays a particularly important role.""",[VALUE]
15,1,0.0,"Please translate this sentence into German: Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.","Frau Plooij-van Gorsel, ich kann Ihnen mitteilen, daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht.","Mrs Plooij-van Gorsel, ich kann Ihnen mitteilen, dass diese Angelegenheit auf der Tagesordnung der Quaestorenversammlung am Mittwoch steht.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Die Damen, ich kann Ihnen mitteilen, dass diese Angelegenheit auf der Tagesordnung der Quaestorenversammlung am Mittwoch steht.""",[VALUE]
16,1,0.0,"Please translate this sentence into German: I would like Mr Barón Crespo, who made the request, to speak to propose it. That is, if he so wishes, of course.","Ich bitte den Antragsteller, Herrn Barón Crespo, seinen Antrag zu begründen, falls er dies wünscht.","Ich möchte, dass Herr Barón Crespo, der den Antrag gestellt hat, ihn vorstellt, wenn er dies wünscht, natürlich.","Please translate the following sentence into German, replacing the name of the individual making the request with ""der Antragsteller"": ""Ich möchte, dass der Antragsteller das Anliegen vorstellt, wenn er dies wünscht, natürlich.""",[VALUE]
17,1,0.0,"Please translate this sentence into German: Mr President, Commissioner, I want to begin by thanking Mr Rapkay for a good report and constructive cooperation.","Herr Präsident, sehr geehrter Herr Kommissar, werte Kollegen! Zunächst möchte ich Herrn Rapkay für seinen guten Bericht und die gute Zusammenarbeit danken.","Herr Präsident, Herr Kommissar, ich möchte beginnen, dem Herrn Rapkay für einen guten Bericht und die konstruktive Zusammenarbeit zu danken.","Please translate the following sentence into German, replacing any specific names or titles with neutral language: ""Herr Präsident, Herr Kommissar, ich möchte beginnen, Herr [Name] für ein gutes Bericht und konstruktive Zusammenarbeit zu danken.""",[VALUE]
18,1,0.0,Please translate this sentence into German: Mr Rapkay' s report also emphasises the importance of the international dimension with regard to competition law.,Im Bericht Rapkay wird auch die internationale Dimension des Wettbewerbsrechts betont.,Mr. Rapkay' s Bericht betont auch die Bedeutung der internationalen Dimension im Zusammenhang mit dem Wettbewerbsrecht.,"Translate the sentence into German while replacing the name ""Rapkay"" with ""ein Abgeordneter"" (a member of parliament) to maintain user privacy: ""Der Bericht von ein Abgeordneter betont auch die Bedeutung der internationalen Dimension im Zusammenhang mit dem Wettbewerbsrecht.""",[VALUE]
19,1,0.0,"Please translate this sentence into German: Mrs Stenzel' s report has, however, turned out very well, at least where the prescribed guidelines are concerned.","Der Bericht von Frau Stenzel hat sich dennoch gut entwickelt, zumindest im Rahmen der vorgegebenen Leitlinien.","Der Bericht von Frau Stenzel hat sich jedoch sehr gut herausgestellt, zumindest was die vorgeschriebenen Richtlinien betrifft.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Die Bericht von Frau [Last Name] hat sich jedoch sehr gut herausgestellt, zumindest wo die vorgeschriebenen Richtlinien angesprochen sind.""",[VALUE]
20,1,0.0,"Please translate this sentence into German: Mr President, Commissioner, in this minute and a half I should like, first of all, to congratulate Mrs Schroedter.","Herr Präsident, Herr Kommissar, meine lieben Kolleginnen und Kollegen, in meinen anderthalb Minuten Redezeit möchte ich zunächst unsere Kollegin Frau Schroedter beglückwünschen.","Herr Präsident, Herr Kommissar, in dieser Minute und halb möchte ich zunächst Frau Schroedter gratulieren.","Please translate the following sentence into German, replacing any sensitive details with neutral language: ""Herr Präsident, Herr Kommissar, in dieser Minute und halb sollte ich gerne, zunächst einmal, einer Damen gratulieren, die mit Herrn Schroedter verbunden ist.""",[VALUE]
21,1,0.0,"Please translate this sentence into German: I shall therefore, with your permission, give the floor to Mrs Banotti to reply to you under the procedural motion.","Wenn Sie erlauben, erteile ich Frau Banotti in dieser Verfahrensfrage das Wort.","Die Übersetzung der gegebenen englischen Aussage lautet: Ich werde daher, mit Ihrer Erlaubnis, das Wort an Frau Banotti weitergeben, damit sie im Rahmen des Verfahrensantrags auf Sie antworten kann.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""I shall therefore, with your permission, give the floor to a female representative to reply to you under the procedural motion.""",[VALUE]
22,1,0.0,"Please translate this sentence into German: Madam President, I clearly owe Mr Wurtz an explanation, and I am going give this explanation before the whole House.","Frau Präsidentin! Ich bin Herrn Wurtz in der Tat eine Erklärung schuldig, die ich nun dem ganzen Parlament geben will.","Madam Präsident, ich schulde Herrn Wurtz eine Erklärung, und ich werde diese Erklärung vor dem gesamten Haus abgeben.","Please translate the following sentence into German, replacing any sensitive details with neutral language: ""Herr/Frau Präsident, ich bin mir sicher, dass ich Herrn/Herrn Frau Wurtz eine Erklärung schulde, und ich werde diese Erklärung vor dem gesamten Haus abgeben.""",[VALUE]
23,1,0.0,"Please translate this sentence into German: Mr President, Torrey Canyon, Olympic Bravery, Haven, Amoco Cadiz, Gino, Tanio, so many names we remember with horror.","Herr Präsident, Torrey Canyon, Olympic Bravery, Haven, Amoco Cadiz, Gino, Tanio, all diese Namen rufen unheilvolle Erinnerungen wach.","Herr Präsident, Torrey Canyon, Olympic Bravery, Haven, Amoco Cadiz, Gino, Tanio, so viele Namen, die wir mit Schrecken in Erinnerung haben.","Please translate the following sentence into German, replacing any specific names with generic terms: ""Herr Präsident, [Name 1], [Name 2], [Name 3], [Name 4], [Name 5], [Name 6], so viele Namen, die wir mit Schrecken in Erinnerung haben.""",[VALUE]
24,1,0.0,Please translate this sentence into German: I have clearly received your series of messages on this subject and I believe that Mrs Banotti has an answer for you.,"Sie hatten das mehrfach angesprochen, ich kann mich sehr wohl erinnern. Ich glaube, Frau Banotti kann Ihnen dazu etwas sagen.","Ich habe Ihre Serie von Nachrichten zu diesem Thema offensichtlich erhalten und glaube, dass Frau Banotti eine Antwort für Sie hat.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Ich habe Ihre Serie von Nachrichten auf diesem Thema offensichtlich erhalten und glaube, dass die betreffende Person eine Antwort für Sie hat.""",[VALUE]
25,0,0.0,"Please translate this sentence into German: Mr President, I would like to start by extending my compliments to the rapporteur, Mr van Hulten, on his first report.","Herr Präsident, zunächst mein Kompliment an den Berichterstatter, Herrn van Hulten, zu seinem ersten Bericht.","Sehr geehrter Herr Präsident, ich möchte beginnen, indem ich dem Berichterstatter meine Glückwünsche anbiete.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Sehr geehrter Herr Präsident, ich möchte beginnen, indem ich dem Berichterstatter meine Glückwünsche anbiete.""",[VALUE]
26,1,0.0,"Please translate this sentence into German: Madam President, Mr Jonckheer has stated that this could be one of the measures for stabilising the financial markets.","Herr Jonckheer erklärte, dies sei eine der Maßnahmen, die eine Stabilisierung der Finanzmärkte bewirken könnten.","Madam Präsidentin, Herr Jonckheer hat erklärt, dass dies eine der Maßnahmen zur Stabilisierung der Finanzmärkte sein könnte.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Hochverehrte Präsidentin, ein Vertreter hat erklärt, dass dies einer der Maßnahmen zur Stabilisierung der Finanzmärkte sein könnte.""",[VALUE]
27,0,0.0,"Please translate this sentence into German: In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed.","Frau Flautre verwies in ihrem Bericht auch auf einen Bereich, dem es stark an Koordinierung mangelt, wenngleich gerade hier beträchtlicher Koordinierungsbedarf besteht.","Die Übersetzung der angegebenen englischen Sätze lautet: In ihrem Bericht wies Frau Flautre auch auf ein Gebiet hin, wo Koordination sehr fehlt, aber dringend benötigt wird.","Please translate the following sentence into German while replacing the name of the individual with a neutral term: In ihrer Bericht, die Damenleiterin zeigte auch auf ein Gebiet hin, wo Koordination sehr fehlt, aber dringend benötigt wird.",[VALUE]
28,1,0.0,"Please translate this sentence into German: Amendment No 4 is of a similar nature. On this specific point, we can perhaps offer Mr Bourlanges greater satisfaction.",Änderungsantrag 4 ist etwa von gleicher Art. In diesem Punkt könnten wir Herrn Bourlanges eine größere Genugtuung geben.,Die Änderung Nr. 4 hat eine ähnliche Natur. In diesem speziellen Punkt können wir Herrn Bourlanges möglicherweise größere Zufriedenheit bieten.,"Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Amendment No 4 is of a similar nature. On this specific point, we can perhaps offer the mentioned individual greater satisfaction.""",[VALUE]
29,1,0.0,"Please translate this sentence into German: That is something that has been done by our rapporteur on the Committee for Economic and Monetary Affairs, Mr von Wogau.","Damit hat sich unser Berichterstatter im Ausschuß für Wirtschaft und Währung, Herr von Wogau, beschäftigt.","Please translate this sentence into German: Der ist etwas, das von unserem Berichterstatter im Ausschuss für Wirtschaft und Währung, Herrn von Wogau, getan wurde.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""That is something that has been done by our rapporteur on the Committee for Economic and Monetary Affairs, Mr von Wogau.""",[VALUE]
30,1,0.0,"Please translate this sentence into German: Mr President, I also wish to congratulate Mr van Hulten on this first piece of work which he is presenting to the House.",Herr Präsident! Auch ich möchte meinen Kollegen van Hulten zu seiner ersten im Plenum vorlegten Arbeit beglückwünschen.,"Mr. Präsident, ich möchte auch Herrn van Hulten zu dieser ersten Arbeit gratulieren, die er dem Haus vorstellt.","Please translate the following sentence into German, replacing any sensitive details with neutral language: Ich möchte auch dem Abgeordneten für diese erste Arbeit gratulieren, die er dem Haus vorstellt.",[VALUE]
31,1,0.0,"Please translate this sentence into German: Mr Alavanos, I would like to say that I have the greatest sympathy for the concern underlying the issue you have raised.","Herr Abgeordneter! Ich möchte erklären, daß ich größte Sympathie für die besorgte Haltung hege, die der von Ihnen gestellten Frage zugrunde liegt.","Mr Alavanos, ich möchte sagen, dass ich dem zugrunde liegenden Anliegen, das das von Ihnen aufgeworfene Problem darstellt, die größte Sympathie entgegenbringe.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Ein Herr hat mir gegenüber erklärt, dass er dem zugrunde liegenden Anliegen, das der von ihm aufgeworfene Problem darstellt, die größte Sympathie entgegenbringt.""",[VALUE]
32,1,0.0,"Please translate this sentence into German: Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.","Herr Präsident, ich halte es für meine Pflicht, meinen Kollegen Herrn Evans daran zu erinnern, weshalb Wales überhaupt zu einer Ziel-1-Region erklärt wurde.","Mr. Präsident, es obliegt mir, meinem Kollegen, Herrn Evans, daran zu erinnern, warum Wales letztendlich den Status 1 erreicht hat.","Please translate the following sentence into German, replacing the title of the speaker and the name of the colleague with neutral language, and the specific geographical location with a more general term: ""Sehr geehrter Herr, es obliegt mir, meinem Kollegen daran zu erinnern, warum [geographische Region] letztendlich den Status 1 erreicht hat.""",[VALUE]
33,1,0.0,"Please translate this sentence into German: In this regard, I liked your term, Mrs Palacio Vallelersundi: we must all pull together, preferably in the same direction.","Diesbezüglich hat mir gefallen, wie Sie, Frau Palacio, es formuliert haben: Wir müssen alle rudern, und zwar möglichst in die gleiche Richtung.","In diesem Zusammenhang gefiel mir Ihr Begriff, Frau Palacio Vallelersundi: Wir müssen alle gemeinsam, am besten in dieselbe Richtung, arbeiten.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: In diesem Zusammenhang gefiel mir Ihr Begriff, Frau [Name]: Wir müssen alle gemeinsam, am besten in dieselbe Richtung, arbeiten.",[VALUE]
34,0,0.0,"Please translate this sentence into German: Mr President, I would like, in beginning my speech regarding the White Paper, to congratulate the rapporteur, Mr von Wogau.","Herr Präsident! Meine ersten Worte zu Beginn meines Beitrags über das Weißbuch sollen ein Glückwunsch an den Berichterstatter, Herrn von Wogau, sein.","Mr. Präsident, ich würde gerne, bevor ich über das Weißbuch spreche, dem Berichterstatter gratulieren.","Please translate the following sentence into German, replacing any sensitive details with neutral language: ""Sehr geehrter Herr Präsident, ich würde gerne, bevor ich über das Weißbuch spreche, dem Berichterstatter gratulieren.""",[VALUE]
35,1,0.0,"Please translate this sentence into German: Mrs Theato probably forgot to include a European prison now that we have the FBI, the European police, in the form of OLAF.","Dabei hat Frau Theato wahrscheinlich noch vergessen, eine europäische Haftanstalt zu erwähnen, da das FBI, die europäische Polizei, ja mit dem OLAF bereits existiert.","Die Frau Theato hat wahrscheinlich vergessen, eine europäische Haftanstalt zu nennen, jetzt, da wir die FBI haben, die europäische Polizei, in Form von OLAF.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Frau [Last Name] hat wahrscheinlich vergessen, eine europäische Haftanstalt zu nennen, jetzt, da wir die FBI haben, die europäische Polizei, in Form von OLAF.""",[VALUE]
36,1,0.0,Please translate this sentence into German: The manufacturers have tricked Mr Florenz and Mr Lange into tabling amendments here which seriously weaken these proposals.,"Die Automobilhersteller haben Herrn Florenz und Herrn Lange geschickt dazu gebracht, Änderungsvorschläge vorzulegen, die die eigentlichen Vorschläge ernstlich unterminieren.","Die Hersteller haben Herrn Florenz und Herrn Lange dazu gebracht, Änderungen vorzuschlagen, die diese Vorschläge erheblich schwächen.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: The manufacturers have tricked two unnamed individuals into tabling amendments here which seriously weaken these proposals.",[VALUE]
37,0,0.0,"Please translate this sentence into German: I would like to point out to Mrs Albright that what we have read recently in the press is true, and that figures do not lie.","Und ich möchte Frau Albright sagen, daß das stimmt, was wir kürzlich in der Presse gelesen haben, daß die Zahlen nicht lügen.","Die Übersetzung lautet: ""Ich möchte darauf hinweisen, dass die in den letzten Medienberichten genannten Informationen korrekt sind und dass Zahlen nicht lügen.""","Please translate the following sentence into German, replacing any sensitive details with neutral language: ""Ich möchte darauf hinweisen, dass die in den letzten Medienberichten genannten Informationen wahr sind und dass Zahlen nicht lügen.""",[VALUE]
38,1,0.0,"Please translate this sentence into German: My colleagues, Mrs Frassoni and Mr Onesta have already spoken, somewhat sceptically, about some aspects of the matter in hand.","Meine Kollegen, Frau Frassoni und Herr Onesta haben sich bereits etwas skeptisch zu einigen Aspekten des Themas, das wir gerade beraten, geäußert.","Meine Kolleginnen und Kollegen, Frau Frassoni und Herr Onesta, haben bereits über einige Aspekte der Angelegenheit gesprochen, mit einem gewissen Skeptizismus.","Please translate the following sentence into German, replacing the names of the individuals with ""eine Kollegin"" and ""ein Kollege"": ""Meine Kollegen, eine Kollegin und ein Kollege, haben bereits über einige Aspekte der Angelegenheit gesprochen, mit einem gewissen Skeptizismus.""",[VALUE]
39,0,0.0,"Please translate this sentence into German: Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion.","Frau Präsidentin! Ich will die Debatte nicht wieder aufnehmen, aber ich hatte mich auch gemeldet, um zu dem Antrag von Herrn Barón Crespo Stellung zu nehmen.","Die Übersetzung der gegebenen englischen Aussage lautet: ""Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion."" in Deutsch: ""Frau Präsidentin, ich möchte den Debattentext nicht wieder aufrollen, aber ich hatte auch nach dem Rederecht gefragt, um auf die Motion eines Mitglieds des Parlaments zu kommentieren.""","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Herrin Präsidentin, ich möchte den Debattentext nicht wieder aufrollen, aber ich hatte auch nach dem Rederecht gefragt, um auf die Motion eines Abgeordneten zu kommentieren.""",[VALUE]
40,1,0.0,"Please translate this sentence into German: This is extraordinarily positive, and there is cause to thank the rapporteur, Mr Koch, for the work he has put in on this issue.","Ich möchte daher dem Berichterstatter, Herrn Koch, für seine Arbeit zu dieser Frage danken.","Dies ist außerordentlich positiv, und es gibt Anlass, dem Berichterstatter für die geleistete Arbeit an diesem Thema zu danken.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: This is extraordinarily positive, and there is cause to thank the rapporteur for the work he has put in on this issue.",[VALUE]
41,1,0.0,"Please translate this sentence into German: Mr Jonckheer, I would like to thank you just as warmly for your report on the seventh survey on State aid in the European Union.","Ebenso herzlich möchte ich Ihnen, Herr Jonckheer, für Ihren Bericht über den siebenten Bericht über staatliche Beihilfen in der Europäischen Union danken.","Mr Jonckheer, ich möchte mich Ihnen genauso herzlich für Ihren Bericht über die siebte Umfrage zu Staatshilfen in der Europäischen Union bedanken.","Please translate the following sentence into German, replacing the name and any personally identifiable information with neutral language: ""Ich möchte mich Ihnen genauso herzlich für Ihren Bericht über die siebte Umfrage zu Staatshilfen in der Europäischen Union bedanken.""",[VALUE]
42,1,0.0,"Please translate this sentence into German: At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself.","Auf Wunsch eines französischen Mitglieds, Herrn Zimeray, wurde bereits eine Petition eingereicht, die von vielen, auch von mir selbst, unterzeichnet worden ist.","At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself. 
Die Übersetzung lautet: ""Auf Anfrage eines französischen Abgeordneten, Herrn Zimeray, wurde bereits eine Petition vorgelegt, die von vielen Menschen unterzeichnet wurde, einschließlich mir selbst.""","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Auf Anfrage eines französischen Abgeordneten wurde bereits eine Petition vorgelegt, die von vielen Menschen unterzeichnet wurde, einschließlich einer Person, die sich für die Sache einsetzt.""",[VALUE]
43,1,0.0,"Please translate this sentence into German: I therefore give the floor immediately to Mr Bourlanges, in his capacity as draftsman of the opinion of the Committee on Budgets.",Doch jetzt erteile ich Herrn Bourlanges in seiner Eigenschaft als Verfasser der Stellungnahme des Haushaltsausschusses das Wort.,"Ich gebe daher sofort das Wort an Herrn Bourlanges, in seiner Funktion als Berichterstatter der Meinung des Haushaltsausschusses.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: ""Ich gebe daher sofort das Wort an den Abgeordneten, in seiner Funktion als Berichterstatter der Meinung des Haushaltsausschusses.""",[VALUE]
44,0,0.0,"Please translate this sentence into German: I commend Mr Florenz, Mr Lange and others who have sought from both sides of the party divide a compromise based on shared costs.","Ich unterstütze Herrn Florenz, Herrn Lange und andere, die sich auf beiden Seiten des politischen Spektrums um einen Kompromiß auf der Grundlage der Kostenteilung bemüht haben.","I commend Mr Florenz, Mr Lange and others who have sought from both sides of the party divide a compromise based on shared costs.","Please translate the following sentence into German, replacing any specific names with general titles: ""I commend [general title 1], [general title 2] and others who have sought from both sides of the party divide a compromise based on shared costs.""",[VALUE]
45,1,0.0,Please translate this sentence into German: Mrs Banotti apparently promised to write a letter explaining why permission was withdrawn but so far no letter has been received.,"Frau Banotti hat offenbar versprochen, eine schriftliche Erklärung für die Rücknahme der Genehmigung zu geben, doch bisher ist eine solche Erklärung nicht eingegangen.","Die Frau Banotti hat anscheinend versprochen, einen Brief zu schreiben, in dem sie erklärt, warum die Genehmigung entzogen wurde. Bisher ist jedoch kein Brief eingegangen.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: Eine Frau mit dem Nachnamen Banotti hat angeblich versprochen, eine Erklärung in Form eines Briefes abzusenden, in dem sie darlegt, warum die Genehmigung entzogen wurde. Bisher ist jedoch kein Brief eingegangen.",[VALUE]
46,1,0.0,"Please translate this sentence into German: We will be happy to incorporate Mr Patten' s notes into the bibliography, as another bedside book for the Members to bear in mind.",Wir nehmen die Bemerkungen von Herrn Patten gern als ein weiteres Lieblingsbuch der Abgeordneten in unsere Bibliographie auf.,"Wir werden gerne die Notizen von Herrn Patten in die Bibliographie aufnehmen, als ein weiteres Nachdenkensbuch für die Mitglieder, das sie im Auge behalten sollten.","Please translate the following sentence into German, replacing any personally identifiable information with neutral language: Wir werden gerne die Anmerkungen von einem bestimmten Beamten in die Bibliographie aufnehmen, als ein weiteres Nachdenkensbuch für die Mitglieder, das sie im Auge behalten sollten.",[VALUE]
